TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-03-13 11:23:21.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-99D3
2024-03-13 11:23:21.903,0.9301724,0.8286482,0.5282124,1.0366526,1.069835,0.49642387,0.20444992,1.3871003,0.9421001,0.5669293,0.17017089,1.1199603,0.98409355,0.5391835,0.29108945,1.010222,0.814179,0.41531038,0.22818452,0.76573235,834.4689,826.4103,747.4359,826.0073,740.58606,0.11474609375,0.147705078125,0.98797607421875,0.964508056640625,-3.850555419921875,-2.03369140625,1,1.0,1.0,1.0,1.0,20.00
2024-03-13 11:23:22.912,0.6927179,0.8286482,0.50301427,0.90518653,0.4719615,0.49642387,0.20646018,0.5686188,0.81608003,0.5669293,0.16327725,0.86224985,0.8716104,0.5391835,0.29202923,0.7897275,0.7239488,0.41531038,0.24090087,0.7735307,813.1135,811.50183,814.7253,830.4396,846.55676,0.017333984375,0.223876953125,0.998046875,0.37384033203125,-8.673095703125,10.774078369140625,1,1.0,2.0,1.0,1.0,20.00
2024-03-13 11:23:23.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-13 11:23:23.925,0.8517598,0.8286482,0.50301427,1.0330869,0.5405388,0.49642387,0.20646018,0.5925955,0.5559316,0.5669293,0.16327725,0.7976771,0.6878206,0.5391835,0.29202923,0.7816315,0.6588125,0.41531038,0.24090087,0.7452492,802.23444,862.27106,823.9927,800.2198,665.64105,0.23553466796875,0.1383056640625,0.9527587890625,3.1402587890625,-18.161163330078125,-3.57391357421875,1,1.0,1.0,1.0,1.0,20.00
2024-03-13 11:23:24.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-13 11:23:24.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-13 11:23:24.935,0.94504356,0.8286482,0.50301427,1.19414,0.67056215,0.49642387,0.20646018,0.7186461,0.47491178,0.5669293,0.16327725,0.7563918,0.56822914,0.5391835,0.29202923,0.79600185,0.5881413,0.41531038,0.24090087,0.604144,654.7619,652.74725,645.4945,647.50916,987.98535,0.38348388671875,0.14532470703125,0.912353515625,1.65985107421875,-3.925323486328125,-1.443023681640625,1,1.0,2.0,1.0,1.0,20.00
2024-03-13 11:23:25.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-13 11:23:25.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-13 11:23:25.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-03-13 11:23:25.942,0.94504356,0.8286482,0.50301427,1.19414,0.67056215,0.49642387,0.20646018,0.7186461,0.47491178,0.5669293,0.16327725,0.7563918,0.56822914,0.5391835,0.29202923,0.79600185,0.5881413,0.41531038,0.24090087,0.604144,701.0989,668.0586,666.8498,717.619,906.99634,0.37347412109375,0.14715576171875,0.92034912109375,1.472930908203125,-3.24493408203125,-1.637420654296875,1,2.0,2.0,1.0,2.0,20.00
2024-03-13 11:23:26.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-13 11:23:26.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-13 11:23:26.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
