TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-03-04 10:25:14.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-99D3
2024-03-04 10:25:14.741,0.6471637,0.0,0.0,1.0474782,0.42005378,0.0,0.0,0.50847614,0.64306706,0.0,0.0,1.308702,0.7763608,0.0,0.0,0.8087452,0.61364895,0.0,0.0,0.62388843,910.2198,816.7399,975.89746,928.7546,793.36993,-0.0841064453125,-0.05316162109375,1.0009765625,1.65985107421875,-4.3365478515625,0.19439697265625,1,1.0,1.0,4.0,1.0,30.00
2024-03-04 10:25:15.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 10:25:15.764,0.664249,0.0,0.0,1.0474782,0.4435438,0.0,0.0,0.50847614,0.62385225,0.0,0.0,1.308702,0.7582203,0.0,0.0,0.8087452,0.60878694,0.0,0.0,0.62388843,924.7253,826.0073,1066.9597,902.1612,735.7509,-0.04144287109375,-0.04913330078125,1.0045166015625,0.710296630859375,-4.486083984375,-0.171966552734375,1,1.0,1.0,2.0,1.0,30.00
2024-03-04 10:25:16.777,0.7608889,0.9866713,0.0,0.16403086,0.52090716,0.7893841,0.0,0.37583625,0.7772865,0.9236214,0.0,0.6693138,0.98746884,0.36135396,0.0,0.7549362,0.58078855,-0.31844348,0.0,0.5779484,945.6777,830.4396,880.0,943.2601,848.97437,-0.049072265625,-0.0555419921875,0.99957275390625,1.9140625,-4.433746337890625,-1.622467041015625,1,1.0,1.0,2.0,1.0,30.00
2024-03-04 10:25:17.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 10:25:17.786,0.83291906,1.0512582,0.0,0.4385915,0.6406773,0.66985536,0.0,0.5222186,0.78146017,0.7603221,0.0,0.7321678,0.97304726,0.349226,0.0,0.6790925,0.51315045,-0.31439778,0.0,0.5939228,932.7839,837.6923,1030.6959,907.8022,669.2674,-0.05242919921875,-0.05169677734375,1.006103515625,1.435546875,-3.401947021484375,-1.256103515625,1,1.0,1.0,1.0,1.0,30.00
2024-03-04 10:25:18.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 10:25:18.793,0.83717674,1.0093014,0.0,0.6475754,0.6655701,0.6202765,0.0,0.66084844,0.62797457,0.7741439,0.0,0.39978996,0.79449713,0.2832341,0.0,0.5497686,0.4716951,-0.23409478,0.0,0.6275411,919.4872,848.97437,925.12823,912.23444,776.04395,-0.05572509765625,-0.05865478515625,1.0020751953125,1.667327880859375,-3.81317138671875,-1.5850830078125,1,1.0,1.0,1.0,1.0,30.00
2024-03-04 10:25:19.810,0.83717674,1.1687098,0.0,0.6475754,0.6655701,1.0523825,0.0,0.66084844,0.62797457,0.8838841,0.0,0.39978996,0.79449713,0.0633297,0.0,0.5497686,0.4716951,-0.36229002,0.0,0.6275411,911.8315,827.2161,899.34064,922.3077,895.7143,-0.06005859375,-0.05279541015625,1.00189208984375,2.03369140625,-3.970184326171875,-1.353302001953125,1,1.0,1.0,1.0,1.0,30.00
2024-03-04 10:25:20.818,0.657576,1.1687098,0.0,0.6475754,0.5778364,1.0523825,0.0,0.66084844,0.7131826,0.8838841,0.0,0.39978996,0.96015,0.0633297,0.0,0.5497686,0.46626997,-0.36229002,0.0,0.6275411,900.54944,865.89746,848.5714,926.7399,852.6007,-0.052490234375,-0.0596923828125,1.00018310546875,1.7645263671875,-4.35150146484375,-1.457977294921875,1,1.0,1.0,1.0,1.0,30.00
2024-03-04 10:25:21.831,0.8741321,1.1687098,0.0,1.0392623,0.59675354,1.0523825,0.0,0.81587917,0.59789443,0.8838841,0.0,1.0055292,0.80478835,0.0633297,0.0,0.74935836,0.61159796,-0.36229002,0.0,0.46705556,941.6484,853.4066,1018.20514,954.1392,690.2198,-0.0457763671875,-0.0560302734375,0.99420166015625,3.701019287109375,-10.347900390625,-1.9439697265625,1,1.0,1.0,1.0,1.0,30.00
2024-03-04 10:25:21.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
