TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-03-04 09:42:50.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-99D3
2024-03-04 09:42:51.004,1.4927443,1.0740013,1.1065074,0.2440297,1.4302491,1.1005754,1.024685,0.29653758,1.1856127,0.89002764,0.58862805,0.4673197,0.93498284,0.8763148,0.37543315,0.6358825,0.52474296,0.24078675,-0.09632051,0.4202411,775.2381,792.1612,889.67035,793.7729,755.4945,0.146484375,0.00885009765625,1.000244140625,-3.6785888671875,-10.826416015625,-8.74786376953125,1,1.0,1.0,1.0,1.0,45.00
2024-03-04 09:42:51.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 09:42:52.015,1.4927443,1.0740013,1.1065074,0.2440297,1.4302491,1.1005754,1.024685,0.29653758,1.1856127,0.89002764,0.58862805,0.4673197,0.93498284,0.8763148,0.37543315,0.6358825,0.52474296,0.24078675,-0.09632051,0.4202411,783.69965,812.3077,921.0989,788.1319,844.1392,0.140625,-0.03338623046875,0.989990234375,1.5252685546875,-4.329071044921875,-2.504730224609375,1,1.0,1.0,1.0,1.0,45.00
2024-03-04 09:42:52.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 09:42:53.031,1.4927443,1.0740013,1.1065074,0.2440297,1.4302491,1.1005754,1.024685,0.29653758,1.1856127,0.89002764,0.58862805,0.4673197,0.93498284,0.8763148,0.37543315,0.6358825,0.52474296,0.24078675,-0.09632051,0.4202411,763.5531,812.71063,828.022,773.6264,1041.5751,0.14642333984375,-0.052001953125,0.99407958984375,2.6318359375,-4.94964599609375,-0.994415283203125,1,2.0,1.0,1.0,2.0,45.00
2024-03-04 09:42:54.038,1.4927443,1.1670842,1.1065074,0.2440297,1.4302491,0.70171237,1.024685,0.29653758,1.1856127,0.7060614,0.58862805,0.4673197,0.93498284,0.47614607,0.37543315,0.6358825,0.52474296,-0.5288916,-0.09632051,0.4202411,780.4762,810.696,850.18317,749.0476,562.8938,0.14556884765625,-0.04083251953125,0.99688720703125,2.0635986328125,-4.089813232421875,-1.936492919921875,1,2.0,1.0,1.0,2.0,45.00
2024-03-04 09:42:54.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 09:42:55.044,1.0939697,1.015799,1.3845087,1.3266885,0.65718436,0.52761656,1.1828712,0.8243808,1.0194217,0.6597953,0.614348,1.1582104,0.78856975,0.16037653,0.50667745,0.8696314,0.5728611,-0.4993037,-0.13964354,0.6840714,880.0,811.50183,833.2601,868.71796,753.0769,0.1480712890625,-0.04071044921875,0.9931640625,1.7047119140625,-3.6785888671875,-1.233673095703125,1,1.0,1.0,1.0,1.0,50.00
2024-03-04 09:42:55.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 09:42:55.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 09:42:56.065,1.3270401,1.1315272,1.3944672,1.5980662,0.9340777,0.49357423,1.2179961,1.0402694,1.0194217,0.42919412,0.5611704,1.1582104,0.82395995,-0.14032388,0.51440644,0.98384345,0.59279543,-0.51549965,-0.09932946,0.687355,777.25275,831.2454,857.03296,791.3553,958.5714,0.1485595703125,-0.0428466796875,0.99365234375,1.30096435546875,-4.149627685546875,-1.39068603515625,1,1.0,1.0,1.0,1.0,50.00
2024-03-04 09:42:57.072,1.3270401,1.275861,1.3944672,1.5980662,0.9340777,1.2939993,1.2179961,1.0402694,1.0194217,0.7674195,0.5611704,1.1582104,0.82395995,-0.07448008,0.51440644,0.98384345,0.59279543,-0.33901888,-0.09932946,0.687355,778.0586,811.9048,846.1539,769.59705,595.12823,0.15185546875,-0.03631591796875,0.99114990234375,1.54022216796875,-3.701019287109375,-1.60003662109375,1,1.0,1.0,1.0,1.0,50.00
2024-03-04 09:42:58.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 09:42:58.082,1.3270401,0.7195899,0.8294003,1.5980662,0.9340777,0.4282156,0.4784748,1.0402694,1.0194217,0.6999394,0.71786946,1.1582104,0.82395995,0.10964124,0.29041126,0.98384345,0.59279543,-0.21393397,-0.25764954,0.687355,807.0696,796.99634,830.84247,811.0989,811.9048,0.1475830078125,-0.039306640625,0.99462890625,1.921539306640625,-3.96270751953125,-1.263580322265625,1,2.0,1.0,1.0,2.0,50.00
2024-03-04 09:42:59.098,1.3270401,0.8785631,1.0973791,1.5980662,0.9340777,0.66295123,0.675755,1.0402694,1.0194217,0.69842786,0.6929688,1.1582104,0.82395995,0.18863705,0.31628036,0.98384345,0.59279543,-0.18873623,-0.24068758,0.687355,776.4469,823.1868,836.8865,794.57874,570.9524,0.14483642578125,-0.0469970703125,0.99420166015625,1.27105712890625,-4.20196533203125,-1.218719482421875,1,2.0,1.0,1.0,2.0,50.00
2024-03-04 09:42:59.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-03-04 09:43:00.112,1.1765993,0.56455845,1.2447507,1.5980662,0.8584702,0.44011694,1.1936504,1.0402694,0.6717245,0.19733423,0.66393507,1.1582104,0.67901003,0.1705246,0.33968815,0.98384345,0.4112777,-0.4155346,-0.44542325,0.687355,816.7399,804.2491,866.30035,813.1135,778.46155,0.14678955078125,-0.0416259765625,0.9940185546875,2.011260986328125,-3.865509033203125,-1.55517578125,1,1.0,1.0,1.0,1.0,50.00
2024-03-04 09:43:01.127,1.1403927,0.60430187,1.255922,1.5980662,0.82351106,0.34593883,1.4431082,1.0402694,0.63650894,0.10663658,0.66393507,1.1582104,0.7115545,0.048710693,0.50775474,0.98384345,0.3419214,-0.3692778,-0.5634087,0.687355,761.9414,813.5165,865.09155,749.0476,567.326,0.14373779296875,-0.04437255859375,0.99371337890625,1.891632080078125,-3.745880126953125,-1.443023681640625,1,1.0,1.0,1.0,1.0,50.00
2024-03-04 09:43:02.154,0.55400836,0.35293618,0.99320835,0.6774677,0.21638024,-0.2499114,0.56519973,0.48785272,0.24449115,-7.258312E-4,0.68904656,0.478159,0.53943264,-0.084304035,-0.027418448,0.85355526,0.31134295,-0.5769486,-0.35222325,0.576523,815.5311,817.5458,845.34796,824.3956,1218.0586,0.14752197265625,-0.036376953125,0.993896484375,1.652374267578125,-3.57391357421875,-1.48040771484375,1,1.0,1.0,1.0,1.0,50.00
