TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-11-17 21:25:35.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-99D3
2023-11-17 21:25:35.776,1.1293358,1.0445644,0.9633813,1.3237542,0.81019485,0.45037517,0.34831354,1.4586322,1.0140605,0.37091896,0.75754905,0.8295217,1.0020972,0.51795465,0.68180245,0.8692231,1.1103303,0.3657067,0.26038313,0.72876215,635.42126,813.5165,829.2308,444.43222,594.7253,0.01458740234375,0.0863037109375,1.0,1.55517578125,-4.42626953125,-3.058013916015625,1,2.0,1.0,1.0,2.0,70.00
2023-11-17 21:25:36.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-11-17 21:25:36.802,1.1293358,1.0445644,0.92258114,1.3237542,0.81019485,0.45037517,0.60165906,1.4586322,1.0140605,0.37091896,0.22382641,0.8295217,1.0020972,0.51795465,0.43687412,0.8692231,1.1103303,0.3657067,0.28054604,0.72876215,677.72894,818.3516,837.28937,532.27106,601.5751,7.9345703125E-4,0.0880126953125,0.99371337890625,1.973876953125,-4.605712890625,-2.235565185546875,1,2.0,1.0,1.0,2.0,70.00
2023-11-17 21:25:37.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-11-17 21:25:37.819,1.1293358,1.0445644,0.92804295,1.3237542,0.81019485,0.45037517,0.5239042,1.4586322,1.0140605,0.37091896,0.63203144,0.8295217,1.0020972,0.51795465,0.36837712,0.8692231,1.1103303,0.3657067,0.21659265,0.72876215,901.75824,831.6484,853.4066,814.7253,688.20514,0.01470947265625,0.070556640625,1.00360107421875,3.058013916015625,-5.031890869140625,-7.588958740234375,1,2.0,1.0,1.0,2.0,70.00
2023-11-17 21:25:38.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-11-17 21:25:38.837,1.1293358,1.0445644,0.9745497,1.3237542,0.81019485,0.45037517,0.38450792,1.4586322,1.0140605,0.37091896,0.6003491,0.8295217,1.0020972,0.51795465,0.3041142,0.8692231,1.1103303,0.3657067,0.33345106,0.72876215,443.62637,1031.0989,940.84247,683.36993,868.71796,-0.01116943359375,0.08087158203125,1.00518798828125,1.413116455078125,-4.927215576171875,-1.308441162109375,1,2.0,1.0,1.0,2.0,70.00
2023-11-17 21:25:39.858,1.1293358,1.0445644,1.110367,1.3237542,0.81019485,0.45037517,0.42363185,1.4586322,1.0140605,0.37091896,0.24559575,0.8295217,1.0020972,0.51795465,0.37307408,0.8692231,1.1103303,0.3657067,0.5878347,0.72876215,581.8315,657.5824,724.4689,509.30402,641.8681,0.03594970703125,0.099365234375,1.01397705078125,4.882354736328125,-5.839385986328125,-5.196380615234375,1,2.0,1.0,1.0,2.0,70.00
2023-11-17 21:25:39.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-11-17 21:25:40.862,1.1293358,1.0445644,1.110367,1.3237542,0.81019485,0.45037517,0.42363185,1.4586322,1.0140605,0.37091896,0.24559575,0.8295217,1.0020972,0.51795465,0.37307408,0.8692231,1.1103303,0.3657067,0.5878347,0.72876215,874.7619,752.674,784.5055,1150.3663,909.41394,0.02410888671875,0.0771484375,0.9991455078125,2.46734619140625,-6.901092529296875,-7.364654541015625,1,2.0,1.0,1.0,2.0,70.00
